zona;partido;nome;votos;soma de votos na zona;votos_total
34;PODE;CARLOS VIANA;4.0;387.0;80199.0
34;PDT;DUDA SALABERT;22.0;6294.0;80199.0
34;MDB;GABRIEL;24.0;10696.0;80199.0
34;#BRANCO#;Branco;8.0;2385.0;80199.0
34;REPUBLICANOS;MAURO TRAMONTE;12.0;6311.0;80199.0
34;PL;BRUNO ENGLER;103.0;28939.0;80199.0
34;PDT;DUDA SALABERT;20.0;6294.0;80199.0
34;PODE;CARLOS VIANA;2.0;387.0;80199.0
34;#NULO#;Nulo;7.0;2525.0;80199.0
34;PSD;FUAD NOMAN;73.0;19367.0;80199.0
34;MDB;GABRIEL;24.0;10696.0;80199.0
34;PT;ROGERIO CORREIA;10.0;3074.0;80199.0
34;#BRANCO#;Branco;1.0;2385.0;80199.0
34;REPUBLICANOS;MAURO TRAMONTE;15.0;6311.0;80199.0
34;PL;BRUNO ENGLER;102.0;28939.0;80199.0
34;PT;ROGERIO CORREIA;10.0;3074.0;80199.0
34;#NULO#;Nulo;13.0;2525.0;80199.0
34;PDT;DUDA SALABERT;31.0;6294.0;80199.0
34;MDB;GABRIEL;27.0;10696.0;80199.0
34;PSD;FUAD NOMAN;76.0;19367.0;80199.0
34;#BRANCO#;Branco;6.0;2385.0;80199.0
34;PL;BRUNO ENGLER;107.0;28939.0;80199.0
34;REPUBLICANOS;MAURO TRAMONTE;16.0;6311.0;80199.0
34;PT;ROGERIO CORREIA;11.0;3074.0;80199.0
34;PDT;DUDA SALABERT;30.0;6294.0;80199.0
34;#NULO#;Nulo;7.0;2525.0;80199.0
34;UP;INDIRA XAVIER;1.0;177.0;80199.0
34;PSD;FUAD NOMAN;81.0;19367.0;80199.0
34;PODE;CARLOS VIANA;2.0;387.0;80199.0
34;MDB;GABRIEL;38.0;10696.0;80199.0
34;#BRANCO#;Branco;6.0;2385.0;80199.0
34;REPUBLICANOS;MAURO TRAMONTE;17.0;6311.0;80199.0
34;PDT;DUDA SALABERT;32.0;6294.0;80199.0
34;PODE;CARLOS VIANA;1.0;387.0;80199.0
34;#NULO#;Nulo;15.0;2525.0;80199.0
34;PSD;FUAD NOMAN;61.0;19367.0;80199.0
34;PT;ROGERIO CORREIA;5.0;3074.0;80199.0
34;PL;BRUNO ENGLER;105.0;28939.0;80199.0
34;MDB;GABRIEL;41.0;10696.0;80199.0
34;#BRANCO#;Branco;1.0;2385.0;80199.0
34;#NULO#;Nulo;8.0;2525.0;80199.0
34;REPUBLICANOS;MAURO TRAMONTE;19.0;6311.0;80199.0
34;PSTU;WANDERSON ROCHA;1.0;31.0;80199.0
34;PL;BRUNO ENGLER;98.0;28939.0;80199.0
34;PDT;DUDA SALABERT;27.0;6294.0;80199.0
34;PT;ROGERIO CORREIA;13.0;3074.0;80199.0
34;MDB;GABRIEL;42.0;10696.0;80199.0
34;UP;INDIRA XAVIER;2.0;177.0;80199.0
34;PSD;FUAD NOMAN;80.0;19367.0;80199.0
34;#BRANCO#;Branco;3.0;2385.0;80199.0
34;#NULO#;Nulo;12.0;2525.0;80199.0
34;PL;BRUNO ENGLER;90.0;28939.0;80199.0
34;PT;ROGERIO CORREIA;12.0;3074.0;80199.0
34;PDT;DUDA SALABERT;28.0;6294.0;80199.0
34;MDB;GABRIEL;48.0;10696.0;80199.0
34;REPUBLICANOS;MAURO TRAMONTE;19.0;6311.0;80199.0
34;UP;INDIRA XAVIER;1.0;177.0;80199.0
34;PODE;CARLOS VIANA;1.0;387.0;80199.0
34;PSD;FUAD NOMAN;77.0;19367.0;80199.0
34;#BRANCO#;Branco;5.0;2385.0;80199.0
34;REPUBLICANOS;MAURO TRAMONTE;20.0;6311.0;80199.0
34;PT;ROGERIO CORREIA;7.0;3074.0;80199.0
34;UP;INDIRA XAVIER;1.0;177.0;80199.0
34;PSD;FUAD NOMAN;81.0;19367.0;80199.0
34;PDT;DUDA SALABERT;41.0;6294.0;80199.0
34;MDB;GABRIEL;38.0;10696.0;80199.0
34;#NULO#;Nulo;13.0;2525.0;80199.0
34;PL;BRUNO ENGLER;79.0;28939.0;80199.0
34;PODE;CARLOS VIANA;1.0;387.0;80199.0
34;#BRANCO#;Branco;10.0;2385.0;80199.0
34;REPUBLICANOS;MAURO TRAMONTE;15.0;6311.0;80199.0
34;PT;ROGERIO CORREIA;15.0;3074.0;80199.0
34;PL;BRUNO ENGLER;109.0;28939.0;80199.0
34;PDT;DUDA SALABERT;45.0;6294.0;80199.0
34;PODE;CARLOS VIANA;1.0;387.0;80199.0
34;#NULO#;Nulo;8.0;2525.0;80199.0
34;PSD;FUAD NOMAN;86.0;19367.0;80199.0
34;MDB;GABRIEL;32.0;10696.0;80199.0
34;#BRANCO#;Branco;13.0;2385.0;80199.0
34;PL;BRUNO ENGLER;85.0;28939.0;80199.0
34;REPUBLICANOS;MAURO TRAMONTE;14.0;6311.0;80199.0
34;PDT;DUDA SALABERT;47.0;6294.0;80199.0
34;PT;ROGERIO CORREIA;11.0;3074.0;80199.0
34;PSD;FUAD NOMAN;68.0;19367.0;80199.0
34;#NULO#;Nulo;14.0;2525.0;80199.0
34;UP;INDIRA XAVIER;2.0;177.0;80199.0
34;PODE;CARLOS VIANA;2.0;387.0;80199.0
34;MDB;GABRIEL;52.0;10696.0;80199.0
34;#BRANCO#;Branco;7.0;2385.0;80199.0
34;PL;BRUNO ENGLER;101.0;28939.0;80199.0
34;REPUBLICANOS;MAURO TRAMONTE;19.0;6311.0;80199.0
34;PDT;DUDA SALABERT;28.0;6294.0;80199.0
34;PT;ROGERIO CORREIA;12.0;3074.0;80199.0
34;#NULO#;Nulo;5.0;2525.0;80199.0
34;UP;INDIRA XAVIER;1.0;177.0;80199.0
34;PSD;FUAD NOMAN;64.0;19367.0;80199.0
34;PODE;CARLOS VIANA;3.0;387.0;80199.0
34;MDB;GABRIEL;41.0;10696.0;80199.0
34;#BRANCO#;Branco;9.0;2385.0;80199.0
34;REPUBLICANOS;MAURO TRAMONTE;11.0;6311.0;80199.0
34;PDT;DUDA SALABERT;29.0;6294.0;80199.0
34;PODE;CARLOS VIANA;1.0;387.0;80199.0
34;#NULO#;Nulo;11.0;2525.0;80199.0
34;PSD;FUAD NOMAN;60.0;19367.0;80199.0
34;PT;ROGERIO CORREIA;10.0;3074.0;80199.0
34;PL;BRUNO ENGLER;90.0;28939.0;80199.0
34;MDB;GABRIEL;31.0;10696.0;80199.0
34;#BRANCO#;Branco;7.0;2385.0;80199.0
34;REPUBLICANOS;MAURO TRAMONTE;12.0;6311.0;80199.0
34;PT;ROGERIO CORREIA;12.0;3074.0;80199.0
34;PL;BRUNO ENGLER;114.0;28939.0;80199.0
34;PDT;DUDA SALABERT;25.0;6294.0;80199.0
34;PODE;CARLOS VIANA;1.0;387.0;80199.0
34;PSD;FUAD NOMAN;80.0;19367.0;80199.0
34;#NULO#;Nulo;12.0;2525.0;80199.0
34;MDB;GABRIEL;29.0;10696.0;80199.0
332;#BRANCO#;Branco;15.0;3586.0;87265.0
332;PT;ROGERIO CORREIA;10.0;3347.0;87265.0
332;REPUBLICANOS;MAURO TRAMONTE;32.0;10850.0;87265.0
332;PSD;FUAD NOMAN;45.0;19677.0;87265.0
332;PDT;DUDA SALABERT;15.0;6890.0;87265.0
332;MDB;GABRIEL;20.0;9545.0;87265.0
332;#NULO#;Nulo;8.0;3816.0;87265.0
332;PL;BRUNO ENGLER;51.0;28757.0;87265.0
332;PODE;CARLOS VIANA;4.0;604.0;87265.0
333;#BRANCO#;Branco;16.0;6296.0;105002.0
333;#NULO#;Nulo;30.0;6469.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;77.0;21355.0;105002.0
333;PL;BRUNO ENGLER;77.0;28018.0;105002.0
333;PSD;FUAD NOMAN;83.0;24459.0;105002.0
333;PT;ROGERIO CORREIA;11.0;4274.0;105002.0
333;MDB;GABRIEL;10.0;7758.0;105002.0
333;PDT;DUDA SALABERT;10.0;4923.0;105002.0
333;UP;INDIRA XAVIER;2.0;158.0;105002.0
333;PODE;CARLOS VIANA;1.0;1232.0;105002.0
333;#BRANCO#;Branco;20.0;6296.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;93.0;21355.0;105002.0
333;PT;ROGERIO CORREIA;15.0;4274.0;105002.0
333;PSD;FUAD NOMAN;68.0;24459.0;105002.0
333;PDT;DUDA SALABERT;14.0;4923.0;105002.0
333;MDB;GABRIEL;17.0;7758.0;105002.0
333;#NULO#;Nulo;10.0;6469.0;105002.0
333;PL;BRUNO ENGLER;59.0;28018.0;105002.0
333;PODE;CARLOS VIANA;6.0;1232.0;105002.0
333;#BRANCO#;Branco;23.0;6296.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;95.0;21355.0;105002.0
333;PL;BRUNO ENGLER;70.0;28018.0;105002.0
333;PDT;DUDA SALABERT;12.0;4923.0;105002.0
333;PODE;CARLOS VIANA;6.0;1232.0;105002.0
333;PT;ROGERIO CORREIA;12.0;4274.0;105002.0
333;#NULO#;Nulo;20.0;6469.0;105002.0
333;MDB;GABRIEL;9.0;7758.0;105002.0
333;PSD;FUAD NOMAN;71.0;24459.0;105002.0
333;UP;INDIRA XAVIER;1.0;158.0;105002.0
333;#BRANCO#;Branco;19.0;6296.0;105002.0
333;#NULO#;Nulo;20.0;6469.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;102.0;21355.0;105002.0
333;PL;BRUNO ENGLER;65.0;28018.0;105002.0
333;PSD;FUAD NOMAN;68.0;24459.0;105002.0
333;PT;ROGERIO CORREIA;10.0;4274.0;105002.0
333;MDB;GABRIEL;13.0;7758.0;105002.0
333;PDT;DUDA SALABERT;7.0;4923.0;105002.0
333;UP;INDIRA XAVIER;1.0;158.0;105002.0
333;PODE;CARLOS VIANA;3.0;1232.0;105002.0
333;#BRANCO#;Branco;17.0;6296.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;75.0;21355.0;105002.0
333;PDT;DUDA SALABERT;10.0;4923.0;105002.0
333;PODE;CARLOS VIANA;7.0;1232.0;105002.0
333;#NULO#;Nulo;23.0;6469.0;105002.0
333;PL;BRUNO ENGLER;68.0;28018.0;105002.0
333;PSD;FUAD NOMAN;91.0;24459.0;105002.0
333;PT;ROGERIO CORREIA;13.0;4274.0;105002.0
333;UP;INDIRA XAVIER;2.0;158.0;105002.0
333;MDB;GABRIEL;12.0;7758.0;105002.0
333;#BRANCO#;Branco;24.0;6296.0;105002.0
333;#NULO#;Nulo;19.0;6469.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;96.0;21355.0;105002.0
333;PL;BRUNO ENGLER;67.0;28018.0;105002.0
333;PSD;FUAD NOMAN;68.0;24459.0;105002.0
333;PT;ROGERIO CORREIA;10.0;4274.0;105002.0
333;MDB;GABRIEL;25.0;7758.0;105002.0
333;PDT;DUDA SALABERT;10.0;4923.0;105002.0
333;UP;INDIRA XAVIER;1.0;158.0;105002.0
333;#BRANCO#;Branco;18.0;6296.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;85.0;21355.0;105002.0
333;PDT;DUDA SALABERT;6.0;4923.0;105002.0
333;PL;BRUNO ENGLER;70.0;28018.0;105002.0
333;PODE;CARLOS VIANA;3.0;1232.0;105002.0
333;#NULO#;Nulo;23.0;6469.0;105002.0
333;PSD;FUAD NOMAN;74.0;24459.0;105002.0
333;PT;ROGERIO CORREIA;11.0;4274.0;105002.0
333;UP;INDIRA XAVIER;3.0;158.0;105002.0
333;MDB;GABRIEL;21.0;7758.0;105002.0
333;#BRANCO#;Branco;12.0;6296.0;105002.0
333;#NULO#;Nulo;16.0;6469.0;105002.0
333;PT;ROGERIO CORREIA;12.0;4274.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;94.0;21355.0;105002.0
333;PL;BRUNO ENGLER;75.0;28018.0;105002.0
333;PDT;DUDA SALABERT;13.0;4923.0;105002.0
333;MDB;GABRIEL;22.0;7758.0;105002.0
333;PODE;CARLOS VIANA;1.0;1232.0;105002.0
333;PSD;FUAD NOMAN;72.0;24459.0;105002.0
333;#BRANCO#;Branco;15.0;6296.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;63.0;21355.0;105002.0
333;PDT;DUDA SALABERT;17.0;4923.0;105002.0
333;PL;BRUNO ENGLER;71.0;28018.0;105002.0
333;PODE;CARLOS VIANA;5.0;1232.0;105002.0
333;#NULO#;Nulo;28.0;6469.0;105002.0
333;PSD;FUAD NOMAN;66.0;24459.0;105002.0
333;PT;ROGERIO CORREIA;12.0;4274.0;105002.0
333;UP;INDIRA XAVIER;1.0;158.0;105002.0
333;MDB;GABRIEL;18.0;7758.0;105002.0
333;#BRANCO#;Branco;25.0;6296.0;105002.0
333;#NULO#;Nulo;19.0;6469.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;95.0;21355.0;105002.0
333;PL;BRUNO ENGLER;68.0;28018.0;105002.0
333;PT;ROGERIO CORREIA;10.0;4274.0;105002.0
333;PDT;DUDA SALABERT;11.0;4923.0;105002.0
333;PSD;FUAD NOMAN;49.0;24459.0;105002.0
333;MDB;GABRIEL;20.0;7758.0;105002.0
333;UP;INDIRA XAVIER;1.0;158.0;105002.0
333;PODE;CARLOS VIANA;1.0;1232.0;105002.0
333;#BRANCO#;Branco;19.0;6296.0;105002.0
333;#NULO#;Nulo;19.0;6469.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;84.0;21355.0;105002.0
333;PL;BRUNO ENGLER;73.0;28018.0;105002.0
333;PSD;FUAD NOMAN;66.0;24459.0;105002.0
333;PT;ROGERIO CORREIA;12.0;4274.0;105002.0
333;MDB;GABRIEL;18.0;7758.0;105002.0
333;PDT;DUDA SALABERT;16.0;4923.0;105002.0
333;UP;INDIRA XAVIER;2.0;158.0;105002.0
333;PODE;CARLOS VIANA;4.0;1232.0;105002.0
333;#BRANCO#;Branco;24.0;6296.0;105002.0
333;#NULO#;Nulo;13.0;6469.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;73.0;21355.0;105002.0
333;PL;BRUNO ENGLER;75.0;28018.0;105002.0
333;PSD;FUAD NOMAN;52.0;24459.0;105002.0
333;PT;ROGERIO CORREIA;16.0;4274.0;105002.0
333;MDB;GABRIEL;21.0;7758.0;105002.0
333;PSTU;WANDERSON ROCHA;1.0;49.0;105002.0
333;PDT;DUDA SALABERT;16.0;4923.0;105002.0
333;UP;INDIRA XAVIER;1.0;158.0;105002.0
333;PODE;CARLOS VIANA;5.0;1232.0;105002.0
333;#BRANCO#;Branco;14.0;6296.0;105002.0
333;#NULO#;Nulo;16.0;6469.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;72.0;21355.0;105002.0
333;PL;BRUNO ENGLER;77.0;28018.0;105002.0
333;PT;ROGERIO CORREIA;11.0;4274.0;105002.0
333;PSD;FUAD NOMAN;70.0;24459.0;105002.0
333;PDT;DUDA SALABERT;13.0;4923.0;105002.0
333;MDB;GABRIEL;19.0;7758.0;105002.0
333;UP;INDIRA XAVIER;1.0;158.0;105002.0
333;PODE;CARLOS VIANA;1.0;1232.0;105002.0
333;#BRANCO#;Branco;31.0;6296.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;74.0;21355.0;105002.0
333;PT;ROGERIO CORREIA;10.0;4274.0;105002.0
333;PL;BRUNO ENGLER;66.0;28018.0;105002.0
333;UP;INDIRA XAVIER;1.0;158.0;105002.0
333;PDT;DUDA SALABERT;12.0;4923.0;105002.0
333;MDB;GABRIEL;13.0;7758.0;105002.0
333;PSD;FUAD NOMAN;53.0;24459.0;105002.0
333;#NULO#;Nulo;17.0;6469.0;105002.0
333;PODE;CARLOS VIANA;3.0;1232.0;105002.0
333;#BRANCO#;Branco;21.0;6296.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;91.0;21355.0;105002.0
333;#NULO#;Nulo;26.0;6469.0;105002.0
333;PT;ROGERIO CORREIA;10.0;4274.0;105002.0
333;PDT;DUDA SALABERT;14.0;4923.0;105002.0
333;MDB;GABRIEL;18.0;7758.0;105002.0
333;PL;BRUNO ENGLER;68.0;28018.0;105002.0
333;PODE;CARLOS VIANA;1.0;1232.0;105002.0
333;UP;INDIRA XAVIER;1.0;158.0;105002.0
333;PSD;FUAD NOMAN;57.0;24459.0;105002.0
333;#BRANCO#;Branco;24.0;6296.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;77.0;21355.0;105002.0
333;PT;ROGERIO CORREIA;5.0;4274.0;105002.0
333;PSD;FUAD NOMAN;75.0;24459.0;105002.0
333;PDT;DUDA SALABERT;17.0;4923.0;105002.0
333;MDB;GABRIEL;20.0;7758.0;105002.0
333;#NULO#;Nulo;26.0;6469.0;105002.0
333;PL;BRUNO ENGLER;54.0;28018.0;105002.0
333;PODE;CARLOS VIANA;2.0;1232.0;105002.0
333;#BRANCO#;Branco;26.0;6296.0;105002.0
333;PL;BRUNO ENGLER;70.0;28018.0;105002.0
333;PDT;DUDA SALABERT;12.0;4923.0;105002.0
333;PT;ROGERIO CORREIA;8.0;4274.0;105002.0
333;PSD;FUAD NOMAN;48.0;24459.0;105002.0
333;#NULO#;Nulo;22.0;6469.0;105002.0
333;UP;INDIRA XAVIER;3.0;158.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;87.0;21355.0;105002.0
333;MDB;GABRIEL;16.0;7758.0;105002.0
333;#BRANCO#;Branco;17.0;6296.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;103.0;21355.0;105002.0
333;PDT;DUDA SALABERT;8.0;4923.0;105002.0
333;PODE;CARLOS VIANA;5.0;1232.0;105002.0
333;#NULO#;Nulo;25.0;6469.0;105002.0
333;PSD;FUAD NOMAN;71.0;24459.0;105002.0
333;MDB;GABRIEL;26.0;7758.0;105002.0
333;PT;ROGERIO CORREIA;16.0;4274.0;105002.0
333;PL;BRUNO ENGLER;63.0;28018.0;105002.0
333;#BRANCO#;Branco;25.0;6296.0;105002.0
333;#NULO#;Nulo;25.0;6469.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;97.0;21355.0;105002.0
333;PL;BRUNO ENGLER;63.0;28018.0;105002.0
333;PSD;FUAD NOMAN;79.0;24459.0;105002.0
333;PT;ROGERIO CORREIA;11.0;4274.0;105002.0
333;MDB;GABRIEL;19.0;7758.0;105002.0
333;PDT;DUDA SALABERT;11.0;4923.0;105002.0
333;UP;INDIRA XAVIER;2.0;158.0;105002.0
333;PODE;CARLOS VIANA;4.0;1232.0;105002.0
333;#BRANCO#;Branco;22.0;6296.0;105002.0
333;#NULO#;Nulo;20.0;6469.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;86.0;21355.0;105002.0
333;PL;BRUNO ENGLER;74.0;28018.0;105002.0
333;PSD;FUAD NOMAN;63.0;24459.0;105002.0
333;PT;ROGERIO CORREIA;12.0;4274.0;105002.0
333;MDB;GABRIEL;14.0;7758.0;105002.0
333;PDT;DUDA SALABERT;14.0;4923.0;105002.0
333;UP;INDIRA XAVIER;2.0;158.0;105002.0
333;PODE;CARLOS VIANA;6.0;1232.0;105002.0
333;#BRANCO#;Branco;21.0;6296.0;105002.0
333;#NULO#;Nulo;22.0;6469.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;92.0;21355.0;105002.0
333;PL;BRUNO ENGLER;54.0;28018.0;105002.0
333;PT;ROGERIO CORREIA;13.0;4274.0;105002.0
333;PDT;DUDA SALABERT;16.0;4923.0;105002.0
333;PSD;FUAD NOMAN;85.0;24459.0;105002.0
333;MDB;GABRIEL;13.0;7758.0;105002.0
333;PODE;CARLOS VIANA;4.0;1232.0;105002.0
333;#BRANCO#;Branco;18.0;6296.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;106.0;21355.0;105002.0
333;PL;BRUNO ENGLER;62.0;28018.0;105002.0
333;UP;INDIRA XAVIER;1.0;158.0;105002.0
333;PSTU;WANDERSON ROCHA;1.0;49.0;105002.0
333;PDT;DUDA SALABERT;11.0;4923.0;105002.0
333;PODE;CARLOS VIANA;4.0;1232.0;105002.0
333;#NULO#;Nulo;9.0;6469.0;105002.0
333;PT;ROGERIO CORREIA;23.0;4274.0;105002.0
333;PSD;FUAD NOMAN;85.0;24459.0;105002.0
333;MDB;GABRIEL;16.0;7758.0;105002.0
333;#BRANCO#;Branco;13.0;6296.0;105002.0
333;#NULO#;Nulo;7.0;6469.0;105002.0
333;PSTU;WANDERSON ROCHA;1.0;49.0;105002.0
333;PT;ROGERIO CORREIA;1.0;4274.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;40.0;21355.0;105002.0
333;MDB;GABRIEL;9.0;7758.0;105002.0
333;PDT;DUDA SALABERT;7.0;4923.0;105002.0
333;PL;BRUNO ENGLER;24.0;28018.0;105002.0
333;UP;INDIRA XAVIER;1.0;158.0;105002.0
333;PSD;FUAD NOMAN;46.0;24459.0;105002.0
333;#BRANCO#;Branco;13.0;6296.0;105002.0
333;REPUBLICANOS;MAURO TRAMONTE;94.0;21355.0;105002.0
333;PL;BRUNO ENGLER;65.0;28018.0;105002.0
333;PDT;DUDA SALABERT;8.0;4923.0;105002.0
333;PT;ROGERIO CORREIA;12.0;4274.0;105002.0
333;#NULO#;Nulo;22.0;6469.0;105002.0
333;PSD;FUAD NOMAN;80.0;24459.0;105002.0
333;UP;INDIRA XAVIER;3.0;158.0;105002.0
